new_la_code,la_name,date_of_operation,date_of_termination,parent_geography_code,entity_code,entity_description,status,old_la_code
E06000055,Bedford,01/04/2009,,E12000006,E06,Unitary Authorities,live,822
E06000056,Central Bedfordshire,01/04/2009,,E12000006,E06,Unitary Authorities,live,823
E06000057,Northumberland,01/04/2013,,E12000001,E06,Unitary Authorities,live,929
E06000063,Cumberland,01/04/2023,,E12000002,E06,Unitary Authorities,live,942
E06000064,Westmorland and Furness,01/04/2023,,E12000002,E06,Unitary Authorities,live,943
E06000063 / E06000064,Cumberland / Westmorland and Furness,01/04/2023,,E12000002,E06,Unitary Authorities,live,942 / 943
E06000065,North Yorkshire,01/04/2023,,E12000003,E06,Unitary Authorities,live,815
E06000066,Somerset,01/04/2023,,E12000009,E06,Unitary Authorities,live,933
E08000037,Gateshead,01/04/2013,,E12000001,E08,Metropolitan Districts,live,390
E06000058,"Bournemouth, Christchurch and Poole",01/04/2019,,E12000009,E06,Unitary Authorities,live,839
E06000059,Dorset,01/04/2019,,E12000009,E06,Unitary Authorities,live,838
E06000060,Buckinghamshire,01/04/2020,,E12000008,E06,Unitary Authorities,live,825
E06000061 / E06000062,North Northamptonshire / West Northamptonshire,01/04/2021,,E12000004,E06,Unitary Authorities,live,940 / 941
E06000061,North Northamptonshire,01/04/2021,,E12000004,E06,Unitary Authorities,live,940
E06000062,West Northamptonshire,01/04/2021,,E12000004,E06,Unitary Authorities,live,941
z,British Forces Post Office overseas establishments,,,,,,live,702
